rank,slot,pos,name,team,rpb,vbd,adp,ffa,valueRank,mine
1,1.01,RB,Jahmyr Gibbs,DET,363.0,164.2,1,,1,False
2,1.02,RB,Bijan Robinson,ATL,362.5,163.7,2,,2,True
3,1.03,WR,Ja'Marr Chase,CIN,308.9,136.2,3,,3,False
4,1.04,WR,Puka Nacua,LAR,304.6,131.9,4,,4,False
5,1.05,WR,Jaxon Smith-Njigba,SEA,267.1,94.4,5,,5,False
6,1.06,WR,Amon-Ra St. Brown,DET,260.3,87.6,6,MUST,8,False
7,1.07,RB,Jonathan Taylor,IND,291.0,92.2,8,FADE,7,False
8,1.08,RB,Christian McCaffrey,SF,283.4,84.6,7,,9,False
9,1.09,RB,Ashton Jeanty,LVR,259.1,60.4,12,MUST,13,False
10,1.10,WR,Justin Jefferson,MIN,245.0,72.3,10,,10,False
11,2.01,TE,Brock Bowers,LVR,210.3,93.7,17,MUST,6,False
12,2.02,WR,CeeDee Lamb,DAL,240.6,67.8,9,,11,False
13,2.03,RB,James Cook,BUF,264.4,65.6,11,,12,False
14,2.04,TE,Tyler Warren,IND,161.3,44.7,59,,14,False
15,2.05,RB,Chase Brown,CIN,229.9,31.1,16,MUST,24,False
16,2.06,WR,A.J. Brown,NE,212.3,39.6,18,,15,False
17,2.07,QB,Josh Allen,BUF,420.3,30.0,31,MUST,25,False
18,2.08,WR,Drake London,ATL,211.2,38.5,16,,16,False
19,2.09,WR,Nico Collins,HOU,209.1,36.3,21,,17,True
20,2.10,RB,Saquon Barkley,PHI,234.8,36.0,14,,18,False
21,3.01,RB,Ken Walker,KC,232.9,34.1,20,,19,False
22,3.02,WR,Parker Washington,JAX,196.1,23.4,73,MUST,29,True
23,3.03,WR,Malik Nabers,NYG,205.6,32.9,31,,20,False
24,3.04,RB,Derrick Henry,BAL,231.0,32.3,20,,21,False
25,3.05,WR,George Pickens,DAL,204.5,31.8,23,,22,False
26,3.06,RB,Omarion Hampton,LAC,230.3,31.6,17,,23,False
27,3.07,TE,Tucker Kraft,GB,145.5,28.9,71,,26,False
28,3.08,TE,Sam LaPorta,DET,141.8,25.3,85,,27,False
29,3.09,WR,DeVonta Smith,PHI,197.4,24.7,28,,28,False
30,3.10,WR,Emeka Egbuka,TB,188.1,15.4,35,MUST,39,False
31,4.01,TE,Harold Fannin Jr.,CLE,139.6,23.0,87,FADE,30,False
32,4.02,QB,Joe Burrow,CIN,404.2,13.9,56,MUST,40,False
33,4.03,WR,Chris Olave,NO,195.1,22.4,28,,31,False
34,4.04,WR,Zay Flowers,BAL,192.3,19.6,29,,32,False
35,4.05,RB,Kyren Williams,LAR,216.9,18.1,31,FADE,33,False
36,4.06,WR,Tee Higgins,CIN,190.7,18.0,32,,34,False
37,4.07,RB,Jeremiyah Love,ARI,216.7,17.9,31,,35,False
38,4.08,WR,Mike Evans,SF,183.3,10.5,50,MUST,45,False
39,4.09,TE,George Kittle,SF,134.2,17.6,107,,36,True
40,4.10,QB,Justin Herbert,LAC,400.1,9.8,74,MUST,46,False
41,5.01,RB,Breece Hall,NYJ,215.3,16.5,34,,37,False
42,5.02,WR,Ladd McConkey,LAC,188.9,16.2,38,,38,True
43,5.03,RB,David Montgomery,HOU,204.8,6.1,55,MUST,48,False
44,5.04,QB,Lamar Jackson,BAL,395.9,5.6,43,MUST,49,False
45,5.05,WR,Tetairoa McMillan,CAR,185.7,13.0,35,,42,False
46,5.06,WR,Garrett Wilson,NYJ,185.7,13.0,39,,41,False
47,5.07,TE,Dallas Goedert,PHI,117.4,0.8,125,MUST,52,False
48,5.08,RB,Javonte Williams,DAL,211.2,12.4,38,,43,False
49,5.09,RB,Josh Jacobs,GB,201.2,2.4,38,FADE,51,False
50,5.10,RB,D'Andre Swift,CHI,199.0,0.2,53,MUST,53,False
51,6.01,WR,Jaylen Waddle,DEN,183.7,10.9,42,,44,False
52,6.02,QB,Jayden Daniels,WAS,390.3,0.0,59,MUST,56,False
53,6.03,WR,Terry McLaurin,WAS,179.6,6.9,45,,47,False
54,6.04,QB,Jalen Hurts,PHI,389.6,-0.7,67,MUST,57,False
55,6.05,WR,Davante Adams,LAR,177.1,4.4,49,FADE,50,False
56,6.06,WR,Jameson Williams,DET,172.7,0.0,53,FADE,54,False
57,6.07,TE,Dalton Kincaid,BUF,116.6,0.0,118,,55,False
58,6.08,TE,Isaiah Likely,NYG,114.4,-2.2,129,,58,False
59,6.09,RB,Quinshon Judkins,CLE,190.2,-8.5,53,,63,True
60,6.10,QB,Dak Prescott,DAL,387.3,-3.0,80,,59,False
61,7.01,WR,DJ Moore,BUF,168.4,-4.3,59,,60,False
62,7.02,TE,Travis Kelce,KC,111.6,-5.0,110,,61,True
63,7.03,RB,TreVeyon Henderson,NE,183.2,-15.6,58,,69,False
64,7.04,RB,Bhayshul Tuten,JAX,183.2,-15.6,58,,70,False
65,7.05,WR,Rome Odunze,CHI,160.8,-11.9,61,,65,False
66,7.06,WR,Carnell Tate,TEN,158.6,-14.2,65,,67,False
67,7.07,RB,Tony Pollard,TEN,173.9,-24.9,75,MUST,77,False
68,7.08,WR,Jordyn Tyson,NO,157.9,-14.8,79,,68,False
69,7.09,QB,Jared Goff,DET,364.4,-25.9,111,MUST,81,False
70,7.10,WR,Brian Thomas Jr.,JAX,153.2,-19.6,68,,73,False
71,8.01,WR,Marvin Harrison Jr.,ARI,150.1,-22.6,70,,74,False
72,8.02,WR,Makai Lemon,PHI,149.3,-23.4,90,,76,False
73,8.03,QB,Bo Nix,DEN,365.2,-25.1,102,,78,False
74,8.04,RB,Rhamondre Stevenson,NE,173.0,-25.7,75,,80,False
75,8.05,WR,Jayden Reed,GB,146.5,-26.2,98,,82,False
76,8.06,WR,Jordan Addison,MIN,145.0,-27.7,99,FADE,84,False
77,8.07,WR,Josh Downs,IND,144.8,-27.9,94,,85,False
78,8.08,WR,Chris Godwin,TB,131.2,-41.5,87,FADE,95,False
79,8.09,RB,Rico Dowdle,PIT,151.4,-47.4,87,,112,True
80,8.10,QB,Patrick Mahomes,KC,351.6,-38.7,97,,93,False
81,9.01,WR,Xavier Worthy,KC,130.4,-42.3,112,,96,False
82,9.02,RB,J.K. Dobbins,DEN,139.8,-59.0,91,,133,True
83,9.03,WR,Michael Pittman Jr.,PIT,125.5,-47.2,93,FADE,107,False
84,9.04,RB,Jonathon Brooks,CAR,151.6,-47.2,103,MUST,108,False
85,9.05,RB,Blake Corum,LAR,148.5,-50.2,93,,116,False
86,9.06,RB,Kyle Monangai,CHI,151.6,-47.2,97,,109,False
87,9.07,WR,Matthew Golden,GB,127.6,-45.1,123,,103,False
88,9.08,WR,Jayden Higgins,HOU,123.2,-49.5,123,MUST,114,False
89,9.09,RB,Jordan Mason,MIN,128.0,-70.8,114,MUST,162,False
90,9.10,WR,Stefon Diggs,WAS,125.3,-47.4,180,,110,False
91,10.01,WR,Jakobi Meyers,JAX,125.3,-47.4,106,FADE,111,False
92,10.02,WR,Wan'Dale Robinson,TEN,123.0,-49.7,106,,115,False
93,10.03,WR,KC Concepcion,CLE,121.5,-51.2,126,,118,False
94,10.04,WR,Romeo Doubs,NE,121.5,-51.2,122,,119,False
95,10.05,RB,Jacory Croskey-Merritt,WAS,128.9,-69.8,114,,159,False
96,10.06,WR,Jalen Coker,CAR,115.9,-56.9,129,,128,False
97,10.07,RB,Kenneth Gainwell,TB,140.8,-58.0,343,,129,False
98,10.08,WR,De'Zhaun Stribling,SF,113.7,-59.0,155,,132,False
99,10.09,WR,Khalil Shakir,BUF,111.4,-61.3,127,,139,True
100,10.10,WR,Rashid Shaheed,SEA,113.3,-59.4,135,,134,False
101,11.01,RB,Chris Rodriguez Jr.,JAX,118.4,-80.3,129,,174,False
102,11.02,WR,Travis Hunter,JAX,113.2,-59.5,157,,135,True
103,11.03,WR,Deebo Samuel,SF,112.9,-59.8,155,,136,False
104,11.04,WR,Denzel Boston,CLE,112.1,-60.7,160,,137,False
105,11.05,WR,Ryan Flournoy,DAL,111.7,-61.0,167,,138,False
106,11.06,RB,Keaton Mitchell,LAC,127.2,-71.5,143,MUST,164,False
107,11.07,WR,Jalen Nailor,LVR,108.0,-64.7,168,,144,False
108,11.08,WR,Jauan Jennings,MIN,106.9,-65.8,155,,145,False
109,11.09,RB,Aaron Jones,MIN,108.8,-90.0,116,,194,False
110,11.10,WR,Tre Harris,LAC,106.7,-66.0,163,,149,False
111,12.01,WR,Tre Tucker,LVR,106.3,-66.4,159,,150,False
112,12.02,WR,Omar Cooper Jr.,NYJ,106.1,-66.6,159,,151,False
113,12.03,RB,Tyrone Tracy Jr.,NYG,107.2,-91.5,129,,203,False
114,12.04,WR,Jalen McMillan,TB,105.6,-67.1,154,,153,False
115,12.05,WR,Isaac TeSlaa,DET,104.1,-68.6,184,,155,False
116,12.06,WR,Zachariah Branch,ATL,104.1,-68.6,216,,156,False
117,12.07,WR,Tank Dell,HOU,103.7,-69.1,203,,158,False
118,12.08,RB,Alvin Kamara,NO,104.3,-94.5,148,,207,False
119,12.09,WR,Adonai Mitchell,NYJ,102.5,-70.2,162,,161,True
120,12.10,WR,Kayshon Boutte,NE,101.8,-70.9,182,,163,False
121,13.01,WR,Pat Bryant,DEN,99.6,-73.1,204,,166,False
122,13.02,WR,Cyrus Allen,KC,98.9,-73.8,283,,168,True
123,13.03,WR,Germie Bernard,PIT,98.2,-74.5,229,,169,False
124,13.04,WR,Jerry Jeudy,CLE,94.8,-77.9,168,,172,False
125,13.05,WR,Tyler Lockett,TEN,87.5,-85.2,230,,181,False
126,13.06,RB,Woody Marks,HOU,90.3,-108.5,138,,258,False
127,13.07,RB,Brian Robinson Jr.,ATL,88.5,-110.3,160,,269,False
128,13.08,WR,Calvin Ridley,TEN,86.7,-86.1,185,,183,False
129,13.09,RB,Tank Bigsby,PHI,86.3,-112.4,152,,270,False
130,13.10,RB,Isiah Pacheco,DET,85.7,-113.1,149,,282,False
131,14.01,WR,Ted Hurst,TB,84.4,-88.3,382,,188,False
132,14.02,WR,Dontayvion Wicks,PHI,81.2,-91.5,185,,202,False
133,14.03,WR,Ray-Ray McCloud III,ATL,84.2,-88.6,275,,191,False
134,14.04,WR,Malik Washington,MIA,81.8,-91.0,186,,199,False
135,14.05,RB,Tyjae Spears,TEN,84.6,-114.1,143,,285,False
136,14.06,RB,Tyler Allgeier,ARI,84.1,-114.6,141,,292,False
137,14.07,WR,Keenan Allen,FA,82.5,-90.2,259,,195,False
138,14.08,WR,Ja'Kobi Lane,BAL,82.1,-90.6,268,,197,False
139,14.09,WR,Darnell Mooney,NYG,82.0,-90.7,195,,198,True
140,14.10,RB,Jonah Coleman,DEN,83.0,-115.8,158,,299,False
141,15.01,DST,Texans D/ST,HOU,321.62,,,,,False
142,15.02,DST,Broncos D/ST,DEN,311.65,,,,,True
143,15.03,DST,Eagles D/ST,PHI,299.48,,,,,False
144,15.04,DST,Rams D/ST,LAR,299.18,,,,,False
145,15.05,DST,Seahawks D/ST,SEA,294.19,,,,,False
146,15.06,DST,Vikings D/ST,MIN,253.42,,,,,False
147,15.07,DST,Steelers D/ST,PIT,247.24,,,,,False
148,15.08,DST,Lions D/ST,DET,231.29,,,,,False
149,15.09,DST,Chargers D/ST,LAC,230.38,,,,,False
150,15.10,DST,Falcons D/ST,ATL,229.43,,,,,False
151,16.01,K,Jason Myers,SEA,165,,,,,False
152,16.02,K,Ka'imi Fairbairn,HOU,155,,,,,False
153,16.03,K,Nick Folk,ATL,152,,,,,False
154,16.04,K,Blake Grupe,IND,151,,,,,False
155,16.05,K,Brandon Aubrey,DAL,151,,,,,False
156,16.06,K,Jake Bates,DET,142,,,,,False
157,16.07,K,Cairo Santos,CHI,140,,,,,False
158,16.08,K,Harrison Mevis,LAR,140,,,,,False
159,16.09,K,Cameron Dicker,LAC,140,,,,,True
160,16.10,K,Will Reichard,MIN,139,,,,,False
